text,label
"patient is rapidly decompensating due to intracranial bleed, requiring immediate clinical decision-making",emergency
"patient is acutely deteriorating due to massive hemorrhage, requiring immediate clinical decision-making",emergency
"patient is with failing vital parameters due to septic shock, requiring time-critical therapeutic action",emergency
reviewing investigation summaries of a follow-up patient documented in a prior visit for multidisciplinary discussion,restricted
analyzing clinical notes of a follow-up patient recorded during last admission for planned consultation,restricted
"patient is with failing vital parameters due to massive hemorrhage, requiring time-critical therapeutic action",emergency
reassessing diagnostic reports of a follow-up patient from earlier clinical review for multidisciplinary discussion,restricted
interpreting investigation summaries of a referred outpatient from an earlier encounter to support differential diagnosis,restricted
assessing clinical notes of a previously admitted patient from earlier clinical review to support differential diagnosis,restricted
"patient is showing signs of collapse due to acute respiratory compromise, requiring urgent life-saving intervention",emergency
examining diagnostic reports of a referred outpatient from an earlier encounter to confirm provisional assessment,restricted
"patient is hemodynamically unstable due to malignant arrhythmia, requiring rapid emergency management",emergency
"patient is acutely deteriorating due to septic shock, requiring rapid emergency management",emergency
attempted record access outside assigned responsibilities,invalid
reassessing previous assessments of a follow-up patient from an earlier encounter to confirm provisional assessment,restricted
analyzing investigation summaries of a follow-up patient from earlier clinical review for pre-procedure planning,restricted
reassessing previous assessments of a follow-up patient documented in a prior visit for pre-procedure planning,restricted
attempted record access for non-clinical review,invalid
"patient is rapidly decompensating due to intracranial bleed, requiring immediate clinical decision-making",emergency
interpreting investigation summaries of a previously admitted patient recorded during last admission to support differential diagnosis,restricted
interpreting investigation summaries of a chronic care patient from archived records to support differential diagnosis,restricted
attempted record access for non-clinical review,invalid
"patient is in extremis due to acute respiratory compromise, requiring urgent life-saving intervention",emergency
attempted record access without clinical linkage,invalid
attempted record access for exploratory browsing,invalid
"patient is acutely deteriorating due to intracranial bleed, requiring rapid emergency management",emergency
reassessing previous assessments of a follow-up patient recorded during last admission for longitudinal follow-up,restricted
"patient is acutely deteriorating due to intracranial bleed, requiring critical bedside intervention",emergency
attempted record access outside assigned responsibilities,invalid
correlating previous assessments of a previously admitted patient documented in a prior visit for multidisciplinary discussion,restricted
"patient is with failing vital parameters due to massive hemorrhage, requiring rapid emergency management",emergency
analyzing diagnostic reports of a referred outpatient from earlier clinical review for longitudinal follow-up,restricted
analyzing previous assessments of a referred outpatient recorded during last admission for pre-procedure planning,restricted
"patient is acutely deteriorating due to polytrauma, requiring urgent life-saving intervention",emergency
"patient is showing signs of collapse due to acute respiratory compromise, requiring urgent life-saving intervention",emergency
"patient is with failing vital parameters due to massive hemorrhage, requiring immediate clinical decision-making",emergency
assessing laboratory parameters of a follow-up patient from archived records to support differential diagnosis,restricted
evaluating clinical notes of an elderly individual from archived records for multidisciplinary discussion,restricted
interpreting previous assessments of a previously admitted patient from archived records to support differential diagnosis,restricted
attempted record access outside assigned responsibilities,invalid
analyzing clinical notes of an elderly individual from earlier clinical review for planned consultation,restricted
interpreting clinical notes of a referred outpatient from earlier clinical review for multidisciplinary discussion,restricted
"patient is with failing vital parameters due to massive hemorrhage, requiring critical bedside intervention",emergency
cross-checking investigation summaries of a follow-up patient from earlier clinical review for longitudinal follow-up,restricted
attempted record access for access testing purposes,invalid
assessing laboratory parameters of a post-discharge case recorded during last admission to support differential diagnosis,restricted
attempted record access without clinical linkage,invalid
examining imaging findings of a follow-up patient recorded during last admission for longitudinal follow-up,restricted
cross-checking clinical notes of a follow-up patient from archived records for multidisciplinary discussion,restricted
reviewing diagnostic reports of a referred outpatient recorded during last admission for pre-procedure planning,restricted
"patient is with failing vital parameters due to malignant arrhythmia, requiring urgent life-saving intervention",emergency
correlating laboratory parameters of a post-discharge case from an earlier encounter to confirm provisional assessment,restricted
analyzing previous assessments of a post-discharge case recorded during last admission for planned consultation,restricted
attempted record access without patient involvement,invalid
"patient is acutely deteriorating due to massive hemorrhage, requiring immediate clinical decision-making",emergency
evaluating clinical notes of a referred outpatient documented in a prior visit for planned consultation,restricted
attempted record access for non-clinical review,invalid
reassessing previous assessments of a follow-up patient from earlier clinical review for pre-procedure planning,restricted
attempted record access for access testing purposes,invalid
correlating investigation summaries of a follow-up patient recorded during last admission for pre-procedure planning,restricted
reassessing investigation summaries of a referred outpatient from earlier clinical review for longitudinal follow-up,restricted
attempted record access for exploratory browsing,invalid
correlating laboratory parameters of a chronic care patient documented in a prior visit for pre-procedure planning,restricted
assessing previous assessments of a previously admitted patient documented in a prior visit to confirm provisional assessment,restricted
interpreting investigation summaries of a previously admitted patient from earlier clinical review for pre-procedure planning,restricted
"patient is rapidly decompensating due to polytrauma, requiring urgent life-saving intervention",emergency
